,md,inc,azi,x,y,z,is_inflection,ti,total_ti
95,6159.0,0.95,39.5,-145.2128,-464.1657,6120.0522,False,0.0,3.819329086799508
96,6249.0,0.59,19.73,-144.2009,-463.5347,6210.0441,True,2.211845610000651e-06,3.972207201867092
97,6346.0,0.57,64.56,-143.5235,-462.9304,6307.0396,True,2.6002067619046443e-06,4.06406822973446
98,6439.0,0.94,51.9,-142.8541,-461.9124,6400.0314,True,2.3535983217914946e-06,4.151075765233024
99,6537.0,0.93,63.88,-142.008,-460.5657,6498.0184,False,0.0,4.151075765233024
100,6630.0,0.82,76.06,-141.5154,-459.2421,6591.0077,True,0.0,4.292697215610825
101,6723.0,0.56,20.86,-140.9304,-458.4344,6684.0018,True,5.9406761316882495e-06,4.41115868623641
102,6833.0,0.32,105.39,-140.5096,-457.9468,6793.9994,True,4.676389830482464e-06,4.537144630187731
103,6913.0,0.36,6.74,-140.3193,-457.702,6873.9985,True,3.738931906749343e-06,4.627227411690423
104,7004.0,0.16,323.89,-139.9327,-457.7433,6964.9976,False,0.0,4.627227411690423
105,7099.0,0.12,302.69,-139.7718,-457.9052,7059.9973,True,2.7143999647982753e-07,4.771348988599884
106,7193.0,0.08,22.18,-139.6579,-457.9633,7153.9972,True,1.3870362991497132e-07,4.845000399376521
107,7287.0,0.08,220.7,-139.6469,-457.9813,7247.9971,True,1.0386497641956538e-06,4.927000503811141
108,7385.0,0.24,349.22,-139.4971,-458.0643,7345.9969,True,5.138966843176718e-07,5.008531815460197
109,7472.0,0.22,243.59,-139.3924,-458.248,7432.9965,True,1.6443467683036062e-06,5.089841169047553
110,7567.0,0.21,252.13,-139.527,-458.577,7527.9958,True,3.679420366164976e-07,5.167570415011957
111,7664.0,0.21,200.68,-139.7478,-458.809,7624.9952,True,7.345634558397762e-07,5.251080265632958
112,7761.0,0.39,232.2,-140.1165,-459.1326,7721.9939,True,6.133314167655612e-07,5.333713529545375
113,7849.0,0.58,191.79,-140.736,-459.4603,7809.991,True,1.2412245522508414e-06,5.413594271396454
114,7950.0,0.55,187.92,-141.7166,-459.6315,7910.9861,True,0.0,5.494780879970117
115,8048.0,0.67,205.62,-142.6991,-459.9441,8008.9806,True,7.780485986597085e-07,5.5809428636719325
116,8138.0,0.65,208.13,-143.6238,-460.4123,8098.9746,False,0.0,5.5809428636719325
117,8231.0,0.22,214.28,-144.2365,-460.7616,8191.9717,True,2.4268680036687584e-06,5.749050207815547
118,8321.0,0.46,197.49,-144.7238,-460.9675,8281.9701,True,5.025522260559967e-07,5.8248909890940475
119,8423.0,0.75,200.54,-145.7395,-461.3247,8383.9643,True,1.1499457632790921e-06,5.9205850411529255
120,8518.0,0.38,226.61,-146.5381,-461.7718,8478.9597,True,2.0121096762082402e-06,6.018702675683574
121,8609.0,0.53,183.92,-147.1653,-462.0199,8569.957,True,2.2013875271564842e-06,6.115248149437761
122,8707.0,0.16,200.93,-147.7453,-462.0998,8667.9551,True,1.5416726726336094e-06,6.212613741193883
123,8796.0,0.3,196.39,-148.0849,-462.2099,8756.9543,False,0.0,6.212613741193883
124,8891.0,0.49,166.29,-148.7182,-462.1838,8851.9521,True,9.000045286811087e-07,6.370162924242636
125,8994.0,0.46,185.29,-149.5578,-462.1175,8954.9487,True,0.0,6.456333697673726
126,9111.0,0.3,182.41,-150.3315,-462.1737,9071.9461,True,2.4191368175330297e-07,6.560839550774164
127,9202.0,4.79,324.15,-147.488,-464.4104,9162.8449,False,0.0,6.560839550774164
128,9295.0,16.19,334.31,-132.607,-472.3316,9254.1454,False,0.0,6.560839550774164
129,9389.0,26.16,342.61,-100.9366,-484.2382,9341.7071,True,0.0013703611186690612,23.49418184082714
130,9434.0,30.96,341.03,-80.5118,-490.9697,9381.2203,True,0.00030173613431805357,27.263826252354644
